Experiment:,Vary_Mutation_Prob_InversePop

Simulation Parameters:
Seed:, 1283856212
Population Size:, 50
Generations:, 10
Number of Genes:, 20
Mutation Probability:, 0.02
Crossover Probability:, 0.6
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
Number of Genes:, 20
Mutation Probability:, 0.1
Crossover Probability:, 0.6
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.0677713,0.468735,12,'11101101010100011011'
0,1,0.197703,0.550583,11,'11110001001010110110'
0,2,0.457419,0.915576,10,'11111101110000001000'
0,3,0.393997,0.973718,14,'11111111010100011011'
0,4,0.541275,0.971374,14,'11111111010000011111'
0,5,0.393873,0.971374,14,'11111111010000011111'
0,6,0.529588,0.962299,11,'11111111000001001010'
0,7,0.381781,0.813173,11,'11111010110000101001'
0,8,0.385165,0.847693,12,'11111011110011100000'
0,9,0.472505,0.851918,14,'11111011111011100001'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.0627744,0.594864,11,'11110011000010101101'
1,1,0.246398,0.597931,12,'11110011001010101101'
1,2,0.253935,0.720025,14,'11110111101110100101'
1,3,0.179375,0.599999,9,'11110011010000000101'
1,4,0.310629,0.652403,14,'11110101010010111111'
1,5,0.540796,0.799081,12,'11111010010100100111'
1,6,0.506036,0.801626,13,'11111010011001101101'
1,7,0.436431,0.793596,11,'11111010001001100101'
1,8,0.597365,0.994084,14,'11111111110110010010'
1,9,0.282318,0.669876,12,'11110101111100100010'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.0631982,0.473307,12,'11101101100011001011'
2,1,0.223416,0.963156,13,'11111111000010100111'
2,2,0.31323,0.985175,15,'11111111100111100011'
2,3,0.396135,0.985175,15,'11111111100111100011'
2,4,0.658166,0.990079,17,'11111111101111101011'
2,5,0.645605,0.970798,14,'11111111001111100001'
2,6,0.45393,0.970966,16,'11111111001111110011'
2,7,0.741248,0.979993,17,'11111111011110111011'
2,8,0.501868,0.985307,15,'11111111100111110001'
2,9,0.333672,0.988926,15,'11111111101101110001'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.0177173,0.0958886,11,'11001010011111110000'
3,1,0.0424913,0.0958886,11,'11001010011111110000'
3,2,0.20015,0.737114,11,'11111000010011110100'
3,3,0.515345,0.899608,13,'11111101010011100101'
3,4,0.420181,0.782873,13,'11111001110011110100'
3,5,0.38555,0.864877,12,'11111100010011111000'
3,6,0.611896,0.868096,12,'11111100011001111000'
3,7,0.624256,0.903109,13,'11111101011001111000'
3,8,0.424311,0.877877,16,'11111100101011111111'
3,9,0.477292,0.902952,13,'11111101011001100110'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.146315,0.758381,9,'11111001000001000101'
4,1,0.532234,0.889395,10,'11111101000001000101'
4,2,0.34957,0.927475,12,'11111110000101000111'
4,3,0.523757,0.715165,14,'11110111100011110110'
4,4,0.329192,0.688396,12,'11110110100111100001'
4,5,0.272969,0.715059,14,'11110111100011100111'
4,6,0.414502,0.962842,11,'11111111000010000101'
4,7,0.559052,0.965204,12,'11111111000110000101'
4,8,0.565236,0.98431,14,'11111111100110000111'
4,9,0.417826,0.984573,14,'11111111100110100011'

